GENE,PDB ID,PARTNER GENES,METHOD,RESOLUTION,RELEASE DATE,SOURCE ORGANISM,KINGDOM,PROK_EUK,OLIGOMERIC STATE,MOLECULAR WEIGHT,STRUCTURE AUTHOR,PUBLICATION YEAR
SLC17A5,8U3H,,ELECTRON MICROSCOPY,3.67,2024-05-29T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,56.07,"Li, X.",2024
SLC17A5,9AYB,,ELECTRON MICROSCOPY,3.19,2024-05-29T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,55.67,"Li, X.",2024
SLC18A1,8TGG,,ELECTRON MICROSCOPY,3.6,2024-03-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,101.91,"Li, W.",2024
SLC18A1,8TGH,,ELECTRON MICROSCOPY,3.5,2024-03-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,101.88,"Li, W.",2024
SLC18A1,8TGI,,ELECTRON MICROSCOPY,3.4,2024-03-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,101.89,"Li, W.",2024
SLC18A1,8TGK,,ELECTRON MICROSCOPY,3.7,2024-03-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,101.85,"Li, W.",2024
SLC18A1,8TGL,,ELECTRON MICROSCOPY,3.4,2024-03-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,101.91,"Li, W.",2024
SLC18A1,8TGN,,ELECTRON MICROSCOPY,3.3,2024-03-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,101.92,"Li, W.",2024
SLC18A2,8JSW,,ELECTRON MICROSCOPY,2.84,2023-11-29T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,49.26,"Wu, D.",2024
SLC18A2,8JSX,,ELECTRON MICROSCOPY,3.16,2024-05-08T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,49.26,"Wu, D.",2024
SLC18A2,8JT5,,ELECTRON MICROSCOPY,3.06,2024-05-08T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,49.2,"Wu, D.",2024
SLC18A2,8JT9,,ELECTRON MICROSCOPY,2.97,2023-11-29T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,49.48,"Wu, D.",2024
SLC18A2,8JTA,,ELECTRON MICROSCOPY,3.36,2023-11-29T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,49.4,"Wu, D.",2024
SLC18A2,8JTB,,ELECTRON MICROSCOPY,2.93,2024-05-08T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,49.24,"Wu, D.",2024
SLC18A2,8JTC,,ELECTRON MICROSCOPY,3.52,2023-11-29T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,49.7,"Wu, D.",2024
SLC18A2,8T69,,ELECTRON MICROSCOPY,2.89,2023-11-01T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,53.94,"Lee, C.H.",2023
SLC18A2,8T6A,,ELECTRON MICROSCOPY,3.17,2023-11-01T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,54.15,"Lee, C.H.",2023
SLC18A2,8T6B,,ELECTRON MICROSCOPY,3.72,2023-11-01T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,53.72,"Lee, C.H.",2023
SLC18A2,8THR,,ELECTRON MICROSCOPY,3.12,2023-10-25T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,94.17,"Coleman, J.A.",2024
SLC18A2,8UCN,,ELECTRON MICROSCOPY,3.31,2024-10-09T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,decameric,234.93,"Li, W.",2025
SLC18A2,8WLJ,,ELECTRON MICROSCOPY,3.6,2024-06-12T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,67.64,"Zhou, Z.",2024
SLC18A2,8WLK,,ELECTRON MICROSCOPY,3.37,2024-06-12T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,54.14,"Zhou, Z.",2024
SLC18A2,8WLL,,ELECTRON MICROSCOPY,3.74,2024-06-12T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,54.37,"Zhou, Z.",2024
SLC18A2,8WLM,,ELECTRON MICROSCOPY,3.57,2024-06-12T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,54.0,"Zhou, Z.",2024
SLC18A2,8WRD,,ELECTRON MICROSCOPY,3.05,2024-09-25T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,116.59,"Iwata, S.",2024
SLC18A2,8WRE,,ELECTRON MICROSCOPY,2.9,2024-09-25T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,116.75,"Iwata, S.",2024
SLC18A2,8WVG,,ELECTRON MICROSCOPY,3.18,2024-09-25T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,116.91,"Iwata, S.",2024
SLC18A2,8X3K,,ELECTRON MICROSCOPY,2.98,2025-01-15T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,69.3,"Zhang, Y.",2025
SLC18A2,8XO9,,ELECTRON MICROSCOPY,3.2,2024-05-08T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,62.12,"Wu, D.",2024
SLC18A2,8XOA,,ELECTRON MICROSCOPY,3.03,2024-05-08T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,62.1,"Wu, D.",2024
SLC18A2,8XOB,,ELECTRON MICROSCOPY,3.15,2024-05-08T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,61.93,"Wu, D.",2024
SLC18A2,9KQ8,,ELECTRON MICROSCOPY,3.38,2025-01-15T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,69.55,"Zhang, Y.",2025
SLC18A2,9KQA,,ELECTRON MICROSCOPY,3.28,2025-01-15T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,69.44,"Zhang, Y.",2025
SLC18A2,9KQE,,ELECTRON MICROSCOPY,3.0,2025-01-15T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,69.28,"Zhang, Y.",2025
SLC19A1,7TX6,,ELECTRON MICROSCOPY,3.3,2022-09-21T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,76.48,"Lee, S.-Y.",2022
SLC19A1,7TX7,,ELECTRON MICROSCOPY,3.8,2022-09-21T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,79.71,"Lee, S.-Y.",2022
SLC19A1,7XPZ,,ELECTRON MICROSCOPY,3.4,2022-10-05T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,60.56,"Gao, P.",2022
SLC19A1,7XQ0,,ELECTRON MICROSCOPY,3.0,2022-10-05T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,61.87,"Gao, P.",2022
SLC19A1,7XQ1,,ELECTRON MICROSCOPY,3.4,2022-10-05T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,61.94,"Gao, P.",2022
SLC19A1,7XQ2,,ELECTRON MICROSCOPY,3.3,2022-10-05T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,61.9,"Gao, P.",2022
SLC19A1,8DEP,,ELECTRON MICROSCOPY,3.6,2022-09-21T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,79.71,"Lee, S.-Y.",2022
SLC19A1,8GOE,,ELECTRON MICROSCOPY,3.0,2022-10-05T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,61.02,"Gao, P.",2022
SLC19A1,8GOF,,ELECTRON MICROSCOPY,3.0,2022-10-05T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,60.98,"Gao, P.",2022
SLC19A1,8HII,,ELECTRON MICROSCOPY,3.57,2022-12-21T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,145.12,"Dang, Y.",2022
SLC19A1,8HIJ,,ELECTRON MICROSCOPY,3.54,2022-12-21T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,145.58,"Dang, Y.",2022
SLC19A1,8HIK,,ELECTRON MICROSCOPY,3.72,2022-12-21T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,145.54,"Dang, Y.",2022
SLC19A1,9JOZ,,ELECTRON MICROSCOPY,2.94,2025-02-26T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,77.48,"Gao, P.",2025
SLC19A1,9JRI,,ELECTRON MICROSCOPY,3.43,2025-02-26T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,77.98,"Gao, P.",2025
SLC19A1,9JRK,,ELECTRON MICROSCOPY,3.44,2025-02-26T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,77.97,"Gao, P.",2025
SLC19A1,9JRL,,ELECTRON MICROSCOPY,3.25,2025-02-26T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,78.05,"Gao, P.",2025
SLC19A1,9JRM,,ELECTRON MICROSCOPY,3.34,2025-02-26T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,78.21,"Gao, P.",2025
SLC19A1,9JRN,,ELECTRON MICROSCOPY,3.74,2025-02-26T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,77.91,"Gao, P.",2025
SLC1A1,6X2L,,ELECTRON MICROSCOPY,2.85,2021-03-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,171.83,"Boudker, O.",2021
SLC1A1,6X2Z,,ELECTRON MICROSCOPY,3.03,2021-03-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.48,"Boudker, O.",2021
SLC1A1,6X3E,,ELECTRON MICROSCOPY,3.42,2021-03-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,172.11,"Boudker, O.",2021
SLC1A1,6X3F,,ELECTRON MICROSCOPY,3.03,2021-03-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,172.22,"Boudker, O.",2021
SLC1A1,8CTC,,ELECTRON MICROSCOPY,2.8,2023-05-10T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,172.61,"Boudker, O.",2023
SLC1A1,8CTD,,ELECTRON MICROSCOPY,3.42,2023-05-10T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.54,"Boudker, O.",2023
SLC1A1,8CUA,,ELECTRON MICROSCOPY,2.44,2023-05-10T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,172.08,"Boudker, O.",2023
SLC1A1,8CUD,,ELECTRON MICROSCOPY,2.94,2023-05-10T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.12,"Boudker, O.",2023
SLC1A1,8CUI,,ELECTRON MICROSCOPY,2.55,2023-05-10T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,171.36,"Boudker, O.",2023
SLC1A1,8CUJ,,ELECTRON MICROSCOPY,3.04,2023-05-10T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.12,"Boudker, O.",2023
SLC1A1,8CV2,,ELECTRON MICROSCOPY,2.44,2023-05-10T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,171.5,"Boudker, O.",2023
SLC1A1,8CV3,,ELECTRON MICROSCOPY,3.04,2023-05-10T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.17,"Boudker, O.",2023
SLC1A1,9D66,,ELECTRON MICROSCOPY,2.98,2025-01-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,172.57,"Boudker, O.",2024
SLC1A1,9D67,,ELECTRON MICROSCOPY,2.87,2025-01-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,172.57,"Boudker, O.",2024
SLC1A1,9D68,,ELECTRON MICROSCOPY,2.58,2025-01-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.29,"Boudker, O.",2024
SLC1A1,9D69,,ELECTRON MICROSCOPY,2.99,2025-01-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.51,"Boudker, O.",2024
SLC1A1,9D6A,,ELECTRON MICROSCOPY,2.6,2025-01-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.51,"Boudker, O.",2024
SLC1A1,9P4X,,ELECTRON MICROSCOPY,2.76,2025-07-30T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,58.42,"Boudker, O.",2025
SLC1A1,9P4Y,,ELECTRON MICROSCOPY,2.56,2025-07-30T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,58.96,"Boudker, O.",2025
SLC1A1,9P4Z,,ELECTRON MICROSCOPY,2.83,2025-07-30T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,58.25,"Boudker, O.",2025
SLC1A2,7VR7,,ELECTRON MICROSCOPY,3.49,2022-08-10T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,66.33,"Nureki, O.",2022
SLC1A2,7VR8,,ELECTRON MICROSCOPY,3.58,2022-08-10T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,65.53,"Nureki, O.",2022
SLC1A2,7XR4,,ELECTRON MICROSCOPY,3.4,2022-06-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,207.36,"Zhang, Z.",2022
SLC1A2,7XR6,,ELECTRON MICROSCOPY,3.4,2022-06-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,213.95,"Zhang, Z.",2022
SLC1A2,9JVV,,ELECTRON MICROSCOPY,2.82,2025-04-30T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,187.65,"Zhou, Q.",2025
SLC1A2,9JVW,,ELECTRON MICROSCOPY,3.41,2025-04-30T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,188.9,"Zhou, Q.",2025
SLC1A2,9JVX,,ELECTRON MICROSCOPY,3.97,2025-04-09T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,191.35,"Zhou, Q.",2025
SLC1A3,5LLM,SLC1A5,X-RAY DIFFRACTION,3.25,2017-04-19T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.09,"Reyes, N.",2017
SLC1A3,5LLU,SLC1A5,X-RAY DIFFRACTION,3.32,2017-04-19T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,56.62,"Reyes, N.",2017
SLC1A3,5LM4,SLC1A5,X-RAY DIFFRACTION,3.1,2017-04-19T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.04,"Reyes, N.",2017
SLC1A3,5MJU,SLC1A5,X-RAY DIFFRACTION,3.71,2017-04-19T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,57.36,"Reyes, N.",2017
SLC1A3,7AWL,,X-RAY DIFFRACTION,3.7,2021-10-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,57.16,"Reyes, N.",2022
SLC1A3,7AWM,SLC1A5,X-RAY DIFFRACTION,3.25,2021-10-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,57.27,"Reyes, N.",2022
SLC1A3,7AWN,SLC1A5,X-RAY DIFFRACTION,3.92,2021-10-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,57.29,"Reyes, N.",2022
SLC1A3,7AWP,SLC1A5,X-RAY DIFFRACTION,3.91,2021-10-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,57.24,"Reyes, N.",2022
SLC1A3,7AWQ,SLC1A5,X-RAY DIFFRACTION,3.65,2021-10-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,57.25,"Reyes, N.",2022
SLC1A3,7NPW,,ELECTRON MICROSCOPY,3.99,2021-10-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,153.23,"Reyes, N.",2022
SLC1A4,7P4I,,ELECTRON MICROSCOPY,4.2,2021-10-06T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,167.3,"Guskov, A.",2021
SLC1A5,5LLM,SLC1A3,X-RAY DIFFRACTION,3.25,2017-04-19T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.09,"Reyes, N.",2017
SLC1A5,5LLU,SLC1A3,X-RAY DIFFRACTION,3.32,2017-04-19T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,56.62,"Reyes, N.",2017
SLC1A5,5LM4,SLC1A3,X-RAY DIFFRACTION,3.1,2017-04-19T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.04,"Reyes, N.",2017
SLC1A5,5MJU,SLC1A3,X-RAY DIFFRACTION,3.71,2017-04-19T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,57.36,"Reyes, N.",2017
SLC1A5,6GCT,,ELECTRON MICROSCOPY,3.85,2018-06-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,170.36,"Slotboom, D.J.",2018
SLC1A5,6MP6,,ELECTRON MICROSCOPY,3.54,2019-11-06T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,170.58,"Han, S.",2019
SLC1A5,6MPB,,ELECTRON MICROSCOPY,3.84,2019-11-06T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,171.02,"Han, S.",2019
SLC1A5,6RVX,,ELECTRON MICROSCOPY,3.61,2019-08-07T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,172.57,"Paulino, C.",2019
SLC1A5,6RVY,,ELECTRON MICROSCOPY,4.13,2019-08-07T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,172.57,"Paulino, C.",2019
SLC1A5,7AWM,SLC1A3,X-RAY DIFFRACTION,3.25,2021-10-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,57.27,"Reyes, N.",2022
SLC1A5,7AWN,SLC1A3,X-RAY DIFFRACTION,3.92,2021-10-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,57.29,"Reyes, N.",2022
SLC1A5,7AWP,SLC1A3,X-RAY DIFFRACTION,3.91,2021-10-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,57.24,"Reyes, N.",2022
SLC1A5,7AWQ,SLC1A3,X-RAY DIFFRACTION,3.65,2021-10-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,57.25,"Reyes, N.",2022
SLC1A5,7BCQ,,ELECTRON MICROSCOPY,3.43,2021-09-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,170.85,"Schlessinger, A.",2021
SLC1A5,7BCS,,ELECTRON MICROSCOPY,3.43,2021-09-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,170.85,"Schlessinger, A.",2021
SLC1A5,7BCT,,ELECTRON MICROSCOPY,3.37,2021-09-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,169.92,"Schlessinger, A.",2021
SLC1A5,8OUD,,ELECTRON MICROSCOPY,2.31,2024-05-01T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,hexameric,213.23,"Reyes, N.",2024
SLC1A5,8OUH,,ELECTRON MICROSCOPY,2.62,2024-05-01T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,226.38,"Reyes, N.",2024
SLC1A5,8OUI,,ELECTRON MICROSCOPY,3.39,2024-05-01T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,192.02,"Reyes, N.",2024
SLC1A5,8OUJ,,ELECTRON MICROSCOPY,3.5,2024-05-01T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,226.38,"Reyes, N.",2024
SLC1A5,8QRO,,ELECTRON MICROSCOPY,2.6,2024-08-14T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,173.05,"Slotboom, D.J.",2024
SLC1A5,8QRP,,ELECTRON MICROSCOPY,2.7,2024-08-14T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.68,"Slotboom, D.J.",2024
SLC1A5,8QRQ,,ELECTRON MICROSCOPY,2.74,2024-08-14T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.68,"Slotboom, D.J.",2024
SLC1A5,8QRR,,ELECTRON MICROSCOPY,2.78,2024-08-14T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.68,"Slotboom, D.J.",2024
SLC1A5,8QRS,,ELECTRON MICROSCOPY,2.86,2024-08-14T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.61,"Slotboom, D.J.",2024
SLC1A5,8QRU,,ELECTRON MICROSCOPY,2.9,2024-08-14T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.61,"Slotboom, D.J.",2024
SLC1A5,8QRV,,ELECTRON MICROSCOPY,2.9,2024-08-14T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.49,"Slotboom, D.J.",2024
SLC1A5,8QRW,,ELECTRON MICROSCOPY,3.0,2024-08-14T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,57.49,"Slotboom, D.J.",2024
SLC22A11,8WJH,,ELECTRON MICROSCOPY,3.1,2024-08-28T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,56.54,"He, J.J.",2024
SLC22A12,8WJG,,ELECTRON MICROSCOPY,3.0,2024-08-28T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,58.03,"He, J.J.",2024
SLC22A12,8WJQ,,ELECTRON MICROSCOPY,3.8,2024-08-28T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,58.2,"He, J.J.",2024
SLC22A12,9B1F,,ELECTRON MICROSCOPY,2.9,2024-09-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.48,"Lee, C.H.",2024
SLC22A12,9B1G,,ELECTRON MICROSCOPY,2.7,2024-09-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.84,"Lee, C.H.",2024
SLC22A12,9B1H,,ELECTRON MICROSCOPY,2.9,2024-09-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.88,"Lee, C.H.",2024
SLC22A12,9B1I,,ELECTRON MICROSCOPY,3.7,2024-09-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.83,"Lee, C.H.",2024
SLC22A12,9B1J,,ELECTRON MICROSCOPY,3.0,2024-09-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.74,"Lee, C.H.",2024
SLC22A12,9B1K,,ELECTRON MICROSCOPY,3.3,2024-09-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.43,"Lee, C.H.",2024
SLC22A12,9B1L,,ELECTRON MICROSCOPY,3.1,2024-09-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.43,"Lee, C.H.",2024
SLC22A12,9B1M,,ELECTRON MICROSCOPY,3.0,2024-09-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.6,"Lee, C.H.",2024
SLC22A12,9B1N,,ELECTRON MICROSCOPY,3.1,2024-09-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.6,"Lee, C.H.",2024
SLC22A12,9B1O,,ELECTRON MICROSCOPY,3.1,2024-09-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.6,"Lee, C.H.",2024
SLC22A12,9IRW,,ELECTRON MICROSCOPY,3.26,2025-01-15T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,60.15,"Chen, L.",2025
SLC22A12,9IRX,,ELECTRON MICROSCOPY,3.0,2025-01-15T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.97,"Chen, L.",2025
SLC22A12,9IRY,,ELECTRON MICROSCOPY,3.2,2025-01-15T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.9,"Chen, L.",2025
SLC22A12,9J5W,,ELECTRON MICROSCOPY,3.2,2025-02-26T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,monomeric,60.66,"Lei, X.",2025
SLC22A12,9J5X,,ELECTRON MICROSCOPY,3.44,2025-02-26T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,monomeric,60.6,"Lei, X.",2025
SLC22A12,9J5Z,,ELECTRON MICROSCOPY,3.5,2025-02-26T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,monomeric,60.58,"Lei, X.",2025
SLC22A12,9J72,,ELECTRON MICROSCOPY,3.47,2025-08-13T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,monomeric,60.42,"Yu, Z.",2025
SLC22A12,9J73,,ELECTRON MICROSCOPY,3.5,2025-08-13T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,monomeric,60.68,"Yu, Z.",2025
SLC22A12,9J75,,ELECTRON MICROSCOPY,3.5,2025-08-13T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,monomeric,60.6,"Yu, Z.",2025
SLC22A12,9J76,,ELECTRON MICROSCOPY,3.51,2025-08-13T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,monomeric,60.66,"Yu, Z.",2025
SLC22A12,9JDV,,ELECTRON MICROSCOPY,3.32,2024-10-16T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,59.84,"Xu, H.E.",2025
SLC22A12,9JDY,,ELECTRON MICROSCOPY,3.23,2024-10-16T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,60.02,"Xu, H.E.",2025
SLC22A12,9JDZ,,ELECTRON MICROSCOPY,3.5,2024-10-16T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,60.08,"Xu, H.E.",2025
